id,code,name,department,category,description,target_levels,mapped_course_ids,mapped_course_names
15,FRAC-DQAD-02,Automated Anomaly Detection & Statistical Imputation,Data Quality Assurance Division (DQAD),Functional,"Designing rule-based validation engines, Mahalanobis distance outlier detection, hot-deck/cold-deck imputation, and item non-response algorithms.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 3}","[5, 7, 8, 14]",Responsible Data Management; Data Foundations for Governance; Data Analysis using R; Data Analytics and Visualizations for Government Officers
16,FRAC-DQAD-03,Administrative Big Data Integration & Deduplication,Data Quality Assurance Division (DQAD),Functional,"Reconciliation of GSTN, MCA-21, EPFO, and PAN registry data with official statistical surveys, entity resolution, and deterministic data matching.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[5, 7, 21]","Responsible Data Management; Data Foundations for Governance; Information Security - Cyber Crimes, Data Security, Data Mining"
17,FRAC-ESD-01,Index of Industrial Production (IIP) Compilation,Economic Statistics Division (ESD),Domain,"Tracking 407 item groups across Mining, Manufacturing, and Electricity sectors, item weighting, and monthly release of headline IIP growth rates.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 3}","[3, 10, 14]",Telecom Analytics using Financial and Operational Data; Overview of Basic Statistics; Data Analytics and Visualizations for Government Officers
18,FRAC-ESD-02,Annual Survey of Industries (ASI) Factory Data Processing,Economic Statistics Division (ESD),Domain,"Processing factory sector returns (Block A to J), evaluating Gross Capital Output, Depreciation, Emoluments, and ex-factory value of industrial output.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 3, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 3}","[3, 7, 10]",Telecom Analytics using Financial and Operational Data; Data Foundations for Governance; Overview of Basic Statistics
19,FRAC-ESD-03,All India Economic Census & National Business Register,Economic Statistics Division (ESD),Domain,"Managing complete enumeration of non-farm economic establishments, geocoding business locations, and maintaining the Statistical Business Register (SBR).","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[7, 10, 12]",Data Foundations for Governance; Overview of Basic Statistics; Know Your Ministry-Ministry of Statistics and Programme Implementation
20,FRAC-SSD-01,UN Sustainable Development Goals (SDG) Indicator Tracking,Social Statistics Division (SSD),Domain,"Monitoring India’s National Indicator Framework (NIF) for all 17 UN SDGs, computing State SDG Index scores, and international SDG metadata reporting.","{""JSO"": 3, ""SSO"": 3, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 3}","[6, 7, 11]",Data Driven Decision Making; Data Foundations for Governance; DoSJE - Matters handled by Statistics Division
21,FRAC-SSD-02,"Gender Statistics, Social Audits & Welfare Schemes",Social Statistics Division (SSD),Domain,"Compiling Gender Statistics, Women and Men in India publication, social audit indicator frameworks, and scheme monitoring (e.g. I-MESA).","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[7, 11, 12]",Data Foundations for Governance; DoSJE - Matters handled by Statistics Division; Know Your Ministry-Ministry of Statistics and Programme Implementation
22,FRAC-SSD-03,Environmental-Economic Accounting (UN SEEA Framework),Social Statistics Division (SSD),Domain,"Compiling EnviStats India, physical flow accounts for energy and water, land cover asset accounting, and ecosystem services valuation.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[6, 11, 15]",Data Driven Decision Making; DoSJE - Matters handled by Statistics Division; Data Storytelling: Narratives and Artificial Intelligence for Impact
23,FRAC-CAP-01,Statistical Yearbook Compilation & Data Dissemination,Coordination and Publication Division (CAP),Functional,"Publishing the Statistical Year Book, India in Figures, open government data portal standards (data.gov.in), and statistical metadata formatting.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[1, 4, 12]",Data Analytics for Effective Governance; Data Storytelling; Know Your Ministry-Ministry of Statistics and Programme Implementation
24,FRAC-CAP-02,"International Statistical Standards (UNSD, SAARC, IMF)",Coordination and Publication Division (CAP),Domain,"Harmonizing national statistical outputs with UN Statistical Commission (UNSC), SAARCSTAT protocols, IMF SDDS standards, and bilateral statistical MoU execution.","{""JSO"": 2, ""SSO"": 2, ""AD"": 3, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 1, ""Research Officer"": 2, ""Joint Director (DES)"": 3, ""Other"": 2}","[6, 12, 23]",Data Driven Decision Making; Know Your Ministry-Ministry of Statistics and Programme Implementation; National Research Foundation: Roles and Responsibilities
25,FRAC-DES-01,Gross State Domestic Product (GSDP) & District Income,State Directorate of Economics and Statistics (DES),Domain,"Estimating Gross State Domestic Product (GSDP) at constant/current prices, District Domestic Product (DDP), and state sector-wise GVA contributions.","{""JSO"": 3, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 3, ""Research Officer"": 4, ""Joint Director (DES)"": 5, ""Other"": 3}","[1, 3, 13]",Data Analytics for Effective Governance; Telecom Analytics using Financial and Operational Data; Data Analysis and Decision Making - I (DADM-I)
26,FRAC-DES-02,State Crop Yield Estimation & Agricultural Statistics,State Directorate of Economics and Statistics (DES),Domain,"General Crop Estimation Surveys (GCES), crop-cutting experiments (CCE), rainfall index compilation, and agriculture production estimation.","{""JSO"": 2, ""SSO"": 3, ""AD"": 3, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 3, ""Research Officer"": 4, ""Joint Director (DES)"": 4, ""Other"": 2}","[7, 10, 24]",Data Foundations for Governance; Overview of Basic Statistics; Geospatial Data Analysis with LiDAR and GNSS
27,FRAC-DES-03,Local Body & Panchayati Raj Statistical Reporting,State Directorate of Economics and Statistics (DES),Functional,"Collection and standardization of administrative statistics at Gram Panchayat, Block, and Urban Local Body (ULB) levels for state planning.","{""JSO"": 2, ""SSO"": 3, ""AD"": 3, ""DD"": 3, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 3, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 2}","[6, 7, 12]",Data Driven Decision Making; Data Foundations for Governance; Know Your Ministry-Ministry of Statistics and Programme Implementation
28,FRAC-NSSTA-01,Statistical Cadre Pedagogy & Training Needs Assessment,National Statistical Systems Training Academy (NSSTA),Functional,"Conducting Training Needs Assessment (TNA), designing induction syllabi for SSS/ISS probationers, and modernizing statistical course pedagogy.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[6, 10, 12]",Data Driven Decision Making; Overview of Basic Statistics; Know Your Ministry-Ministry of Statistics and Programme Implementation
29,FRAC-NSSTA-02,Statistical Research Governance & Evaluation Methodologies,National Statistical Systems Training Academy (NSSTA),Domain,"Facilitating applied econometric research, publication peer review, statistical ethics in governance, and ANRF research grant management.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[22, 23, 6]",Research Ethics; National Research Foundation: Roles and Responsibilities; Data Driven Decision Making
30,FRAC-TECH-01,Statistical Programming & Data Wrangling in Python,All Departments,Functional,"Data wrangling, automated tabular pipelines, exploratory data analysis using Pandas, NumPy, and statistical hypothesis testing in Python.","{""JSO"": 3, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 4, ""Director"": 3, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 3}","[8, 14, 18]",Data Analysis using R; Data Analytics and Visualizations for Government Officers; Introduction to R and Python Programming
31,FRAC-TECH-02,Inferential Statistics & Econometrics in R,All Departments,Functional,"Regression modeling, time-series forecasting (ARIMA), ANOVA, hypothesis testing (t-test, chi-square), and statistical computing in R.","{""JSO"": 3, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 4, ""Director"": 3, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 3}","[8, 10, 18]",Data Analysis using R; Overview of Basic Statistics; Introduction to R and Python Programming
32,FRAC-TECH-03,Executive Business Intelligence & Dashboards (Power BI / Tableau),All Departments,Functional,"Building executive KPI dashboards, DAX queries, data connectors, and high-impact visual presentations for senior government stakeholders.","{""JSO"": 2, ""SSO"": 3, ""AD"": 3, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[1, 2, 4, 14]",Data Analytics for Effective Governance; Data Analytics Essentials for the Defence Ecosystem; Data Storytelling; Data Analytics and Visualizations for Government Officers
33,FRAC-TECH-04,Applied Generative AI & Machine Learning for Governance,All Departments,Functional,"Prompt engineering for official documents, responsible AI governance, document intelligence, automated summary generation, and LLM prototyping.","{""JSO"": 2, ""SSO"": 3, ""AD"": 3, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[16, 17, 20]","Responsible AI in the Generative AI Era; Applied AI and Technical Deep Dives; Introduction to AI, ML and Robotic Process Automation and Applications"
34,FRAC-GOV-01,Digital Personal Data Protection (DPDP Act) & Data Ethics,All Departments,Behavioral,"Compliance with India’s DPDP Act 2023, data privacy protocols, statistical anonymization, consent architecture, and ethical data governance.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[5, 9, 21, 22]","Responsible Data Management; Web Application Security for Enterprise Platforms; Information Security - Cyber Crimes, Data Security, Data Mining; Research Ethics"
35,FRAC-GOV-02,Evidence-Based Policy Briefing & Cabinet Note Preparation,All Departments,Behavioral,"Translating statistical insights into concise policy recommendations, inter-ministerial appraisal notes, scheme diagnostics, and KPI monitoring.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 2}","[6, 7, 12, 19]",Data Driven Decision Making; Data Foundations for Governance; Know Your Ministry-Ministry of Statistics and Programme Implementation; Data and Social Media Analytics for Governance
36,FRAC-GOV-03,Enterprise Information Security & Cyber Defense,All Departments,Functional,"Protecting national statistical databases, application security best practices (OWASP Top 10), cyber hygiene, and threat mitigation.","{""JSO"": 2, ""SSO"": 3, ""AD"": 3, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[9, 21]","Web Application Security for Enterprise Platforms; Information Security - Cyber Crimes, Data Security, Data Mining"
