id,image,name,by,duration,difficulty_level,tags,course_description,enrollees
11,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1140364082658344961225/artifact/do_1140364082658344961225_1713428744106_m10big1713428748843.png,DoSJE - Matters handled by Statistics Division,Department of Social Justice and Empowerment,0.42,Beginner,"Statistics, Social Justice, Monitoring and Evaluation, Data Management, Social Audit, Gender Budgeting, PRAGATI Portal, E-Samiksha, I-MESA Scheme, Government Reporting, Public Policy, Governance, Welfare Schemes","Explains the functions of the Statistics Division, including data management, monitoring, evaluation, social audits, gender budgeting, PRAGATI, E-Samiksha and the I-MESA scheme.",0
12,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1143167620632739841690/artifact/do_1143167620632739841690_1747651619182_do_1142650958155694081129_1741344704217_kym-mospi217413447093401747651619777.jpg,Know Your Ministry-Ministry of Statistics and Programme Implementation,Training Division,1.32,Beginner,"MoSPI, Data Generation, Data Dissemination, Programme Implementation, Evidence-Based Policy-Making, Programme Monitoring, Statistical Surveys, Government Statistics, Data-Driven Governance, Public Data","Provides an overview of MoSPI, NSO and the Programme Implementation Wing, focusing on official statistics, data generation, dissemination, programme monitoring and evidence-based governance.",0
13,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1142404124539617281705/artifact/do_1142404124539617281705_1738331598476_dataanalysisanddecisionmaking21738331574816.jpg,Data Analysis and Decision Making - I (DADM-I),IIT Kanpur,1.32,Beginner,"Data Analysis, Decision Making, Statistics, Data Presentation, Probability Theory, Forecasting, Central Tendency, Standard Deviation, Normal Distribution, Correlation, Data Visualization, Statistical Methods, Time Series Analysis","Introduces data presentation, descriptive statistics, probability distributions, correlation and basic forecasting methods such as moving averages and exponential smoothing.",0
14,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1143768704875888641244/artifact/do_1143768704875888641244_1754989073296_m2u1_001754989063968.jpg,Data Analytics and Visualizations for Government Officers,Department of Expenditure,1.17,Intermediate,"Data Analytics, Data Visualization, Python, Data Analysis, Excel, Power BI, Tableau, Data-Driven Decision Making, Governance, Public Policy, Data Storytelling, Pandas, NumPy, Business Intelligence","Covers data cleaning, transformation, statistical analysis and visualization using Excel, Power BI and Tableau, along with Python libraries such as Pandas, NumPy and Matplotlib for governance applications.",0
15,https://portal.igotkarmayogi.gov.in/assets/public/content/do_114352023368974336124/artifact/do_114352023368974336124_1751955979471_screenshot-2025-07-08-at-11.55.30-am1751955977664.png,Data Storytelling: Narratives and Artificial Intelligence for Impact,DataDotOrg,1.7,Beginner,"Data Storytelling, Data Visualization, Generative AI, Artificial Intelligence, Narrative Building, Impactful Communication, Data-driven Decision Making, Policymaking, Social Impact, Visual Analytics, Climate Data, Health Data, Communication Strategy, Data Interpretation","Teaches data storytelling for governance and social impact, covering visual encoding, cognitive load, narrative building, visualization techniques and the use of Generative AI to create and scale data-driven narratives.",0
16,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1140986788042014721104/artifact/do_1140986788042014721104_1721030128501_image11721030128473.jpg,Responsible AI in the Generative AI Era,Fractal,1.73,Beginner,"Responsible AI, Generative AI, Artificial Intelligence, AI Ethics, AI Governance, Bias in AI, Deepfakes, Misinformation, Transparency, Accountability, Fairness, Data Privacy, Cybersecurity, Intellectual Property, Machine Learning","Introduces Responsible AI in the Generative AI era, covering AI bias, deepfakes, misinformation, intellectual property, privacy and cybersecurity, along with principles such as fairness, transparency, accountability, robustness and security.",0
17,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1146443903930286081168/artifact/do_1146443903930286081168_1787645313061_chatgpt-image-aug-25-2026-at-01_37_52-pm1787645312798.png,Applied AI and Technical Deep Dives,Wadhwani Foundation,3.65,Beginner,"Artificial Intelligence, Generative AI, Prompt Engineering, AI Tools, Government AI, AI Productivity, No-Code AI, AI Prototyping, Digital Prototyping, Rapid Prototyping, LLMs, Natural Language Processing, Responsible AI, Human in the Loop, Document Analysis, Conversational AI, Citizen-Centric Innovation, Digital Governance, Government Use Cases, Proof of Concept (PoC), AI for Government, ChatGPT, Digital Transformation","A curated AI learning journey covering effective prompting, AI-assisted productivity, document analysis, content and presentation creation, responsible AI, and the development and testing of AI/no-code prototypes for government use cases.",0
18,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1143586301606789121453/artifact/do_1143586301606789121453_1752762471040_ms-course-thumbnail1752762470562.png,Introduction to R and Python Programming,Microsoft,0.68,Beginner,"R Programming, Python, Data Science, Data Analytics, Statistical Analysis, Data Visualization, Programming Fundamentals, Coding for Beginners, Syntax, Variables, Data Types, Artificial Intelligence, Machine Learning","Provides a beginner-friendly introduction to R and Python, covering syntax, variables, data types, basic operations and programming logic, while explaining their applications in data science, analytics, machine learning and technology-driven governance.",0
19,https://portal.igotkarmayogi.gov.in/assets/public/content/do_11433228558820966411030/artifact/do_11433228558820966411030_1749546580846_updated-thumbnail-for-data-analytics-and-social-media1749546597660.jpg,Data and Social Media Analytics for Governance,National E-Governance Division (NEGD) MeitY Govt of India,0.79,Beginner,"Data Analytics, Social Media Analytics, Governance, Data-Driven Decision Making, Public Sector, Policy Making, Citizen Engagement, Data Visualization, Sentiment Analysis, Transparency, Big Data, Business Intelligence, Looker Studio, Tableau","This course provides an overview of data and social media analytics for effective governance. It covers the five-step data analytics process—data collection, cleaning, analysis, visualization, and decision-making—along with descriptive, diagnostic, predictive, and prescriptive analytics. It also explores social media analytics, public sentiment, engagement, misinformation, and tools such as Google Analytics, Python, Tableau, and Looker Studio to support policy-making and improved citizen services.",0
20,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1141290673705205761160/artifact/do_1141290673705205761160_1724739669886_aiml1724739669794.jpeg,"Introduction to AI, ML and Robotic Process Automation and Applications",Power Finance Corporation Ltd,2.32,Intermediate,"Artificial Intelligence, Machine Learning, Robotic Process Automation, Power Sector, Utilities, Discoms, Smart Grids, Smart Meters, Advanced Metering Infrastructure, Data Analytics, Revenue Recovery, Loss Reduction, Predictive Maintenance, Energy Audit, Asset Management","Developed for professionals in the power sector, this course covers the practical implementation of AI, ML, and RPA in power distribution. It focuses on reducing commercial and technical losses, improving billing and revenue collection, identifying power theft, monitoring asset health, optimizing smart meter deployment, and using analytics and AI-driven systems for better decision-making and operational efficiency.",0
21,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1140562631929774081145/artifact/do_1140562631929774081145_1715852441214_informationsecuritydatasecuritycybercrimesanddatamining1715852402365.jpg,"Information Security - Cyber Crimes, Data Security, Data Mining",National Academy of Direct Taxes NADT,2.27,Beginner,"Information Security, Cybersecurity, Data Security, Cybercrime, Data Mining, IT Act 2000, Data Protection, Network Security, Malware, Phishing, Ransomware, Hacking, Cryptography, Business Intelligence, Digital Security","This course provides foundational knowledge of information security, cybercrime, data security, and data mining. It covers different types of cybercrimes and cyber weapons such as viruses, worms, trojans, and botnets, along with phishing, ransomware, and social engineering. It explains confidentiality, integrity, availability, data protection measures, data mining concepts, and relevant provisions of the Information Technology Act, 2000.",0
22,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1143387237581946881566/artifact/do_1143387237581946881566_1750332490190_21750332490002.png,Research Ethics,Indian Council of Medical Research (ICMR),1.47,Beginner,"Research Ethics, Health Research, Biomedical Research, Publication Ethics, Project Management, Informed Consent, Plagiarism, Data Fabrication, Falsification, Authorship, ICMR Guidelines, Helsinki Declaration, Ethical Principles, Study Design, Clinical Trials","This course builds a strong foundation in the ethical and operational aspects of health research. It covers respect for persons, beneficence, justice, ICMR standards, the Declaration of Helsinki, informed consent, research and publication misconduct, plagiarism, data fabrication, falsification, authorship, conflicts of interest, confidentiality, and basic project management.",0
23,https://portal.igotkarmayogi.gov.in/assets/public/content/do_11445418437126553611121/artifact/do_11445418437126553611121_1764426803369_splash1764426802605.png,National Research Foundation: Roles and Responsibilities,Department of Science and Technology (DST),0.66,Beginner,"National Research Foundation, Research Foundation, NRF Roles & Responsibilities, ANRF Act 2023, Research and Innovation, Implementation Committee, Governing Structure, Research Ecosystem","This course provides an overview of the Anusandhan National Research Foundation (ANRF), focusing on its establishment, objectives, activities, and organizational structure. It explains the importance of research and innovation in India's economic development and examines the ANRF Act, 2023, including the roles of its Governing Board and Implementation Committee.",0
24,https://portal.igotkarmayogi.gov.in/assets/public/content/do_114539716261765120164/artifact/do_114539716261765120164_1774867708067_31774867707783.jpg,Geospatial Data Analysis with LiDAR and GNSS,Department of Space and ISRO HQ,0.78,Beginner,"LiDAR, GNSS, Geospatial Technologies, GNSS (Global Navigation Satellite Systems), GPS Technology, Digital Elevation Models (DEM), Land Feature Analysis, Underwater Terrain Mapping, GNSS Mission Planning, AI, ML, AI/ML Architectures, Predictive Analysis, Crop Yield Estimation, Land Cover Assessment, Deforestation Monitoring","This course provides a comprehensive understanding of LiDAR, GNSS, and AI/ML approaches for satellite data analysis. It covers LiDAR data collection and processing, digital elevation models, GNSS mission planning and common errors, and AI/ML applications including crop mapping, crop yield estimation, land use and land cover assessment, deforestation monitoring, and ship detection.",0
25,https://portal.igotkarmayogi.gov.in/assets/public/content/do_11393581410900377618/artifact/do_11393581410900377618_1701149183885_projectfinanceimage1701149178922.jpg,Project Finance,Quality Council of India,2.8,Beginner,"Project Finance, Project Management, Infrastructure Financing, Mega Projects, Government Initiatives, Feasibility Assessment, Viability Analysis, Risk Mitigation, Budget Management, Public Finance, Financial Management, Infrastructural Development","This course provides essential knowledge of project finance for large-scale government and infrastructure projects. It covers the project finance lifecycle, financing models, feasibility and viability analysis, stakeholder roles, project documentation, financial management, risk assessment, planning, and execution strategies.",0
